Frame,aggregate_count,total_peptides_in_aggregate,avg_aggregate_size
290,25,6730,269.2
291,25,6654,266.2
292,24,6681,278.4
293,23,6731,292.6
294,22,6616,300.7
295,22,6603,300.1
296,23,6666,289.8
297,24,6612,275.5
298,27,6736,249.5
299,23,6589,286.5
300,25,6787,271.5
301,25,6726,269.0
302,26,6783,260.9
303,24,6806,283.6
304,23,6689,290.8
305,22,6625,301.1
306,22,6689,304.0
307,23,6703,291.4
308,23,6724,292.4
309,23,6644,288.9
310,24,6826,284.4
311,24,6877,286.5
312,26,6872,264.3
313,26,6897,265.3
314,26,6854,263.6
315,25,6799,272.0
316,24,6738,280.8
317,24,6740,280.8
318,24,6770,282.1
319,23,6752,293.6
320,24,6851,285.5
321,24,6819,284.1
322,23,6860,298.3
323,23,6892,299.6
324,23,6848,297.7
325,22,6935,315.2
326,24,6846,285.2
327,23,6839,297.4
328,24,6988,291.2
329,23,6955,302.4
330,23,6929,301.3
331,23,7011,304.8
332,24,6967,290.3
333,23,6949,302.1
334,22,6925,314.8
335,21,7000,333.3
336,20,6925,346.2
337,21,6876,327.4
338,20,6901,345.0
339,20,6866,343.3
340,21,6935,330.2
341,21,6891,328.1
342,22,6917,314.4
343,24,6966,290.2
344,23,6918,300.8
345,22,6839,310.9
346,22,6871,312.3
347,21,6867,327.0
348,20,6768,338.4
349,20,6722,336.1
350,20,6706,335.3
351,21,6837,325.6
352,22,6828,310.4
353,21,6701,319.1
354,21,6714,319.7
355,21,6703,319.2
356,21,6687,318.4
357,22,6714,305.2
358,22,6809,309.5
359,22,6749,306.8
360,22,6800,309.1
361,22,6819,310.0
362,22,6778,308.1
363,23,6839,297.4
364,22,6767,307.6
365,22,6851,311.4
366,23,6869,298.6
367,23,6835,297.2
368,22,6823,310.1
369,21,6782,323.0
370,17,6779,398.8
371,16,6770,423.1
372,19,6716,353.5
373,19,6736,354.5
374,19,6775,356.6
375,18,6678,371.0
376,18,6675,370.8
377,19,6737,354.6
378,21,6762,322.0
379,20,6776,338.8
380,20,6831,341.6
381,20,6775,338.8
382,21,6677,318.0
383,20,6692,334.6
384,21,6703,319.2
385,19,6852,360.6
386,17,6906,406.2
387,19,6753,355.4
388,19,6728,354.1
389,18,6727,373.7
390,19,6858,361.0
391,19,6889,362.6
392,19,6864,361.3
393,19,6839,360.0
394,18,6754,375.2
395,20,6842,342.1
396,21,6916,329.3
397,23,6887,299.4
398,19,6794,357.6
399,22,6861,311.9
400,20,6843,342.2
401,19,6759,355.7
402,22,6970,316.8
403,21,6907,328.9
404,20,6806,340.3
405,19,6776,356.6
406,19,6835,359.7
407,20,6825,341.2
408,20,6846,342.3
409,21,6732,320.6
410,22,6834,310.6
411,18,6759,375.5
412,19,6742,354.8
413,21,6772,322.5
414,22,6871,312.3
415,21,6964,331.6
416,20,6946,347.3
417,20,6941,347.0
418,20,6925,346.2
419,20,6904,345.2
420,21,7031,334.8
421,21,7053,335.9
422,23,7071,307.4
423,22,7152,325.1
424,22,7140,324.6
425,22,7110,323.2
426,22,7127,324.0
427,23,7167,311.6
428,21,7104,338.3
429,21,7058,336.1
430,20,7008,350.4
431,20,7033,351.6
432,19,6993,368.0
433,19,6961,366.4
434,20,7060,353.0
435,20,7041,352.0
436,18,6971,387.3
437,22,7068,321.3
438,20,7011,350.6
439,19,6948,365.7
440,22,7039,320.0
441,20,6965,348.2
442,19,6934,365.0
443,21,6973,332.0
444,20,7036,351.8
445,22,6996,318.0
446,20,7003,350.2
447,21,7009,333.8
448,21,7073,336.8
449,20,6923,346.2
450,20,7057,352.8
451,20,7013,350.6
452,19,7019,369.4
453,20,6958,347.9
454,18,6861,381.2
455,20,6940,347.0
456,22,7107,323.0
457,19,6920,364.2
458,19,6973,367.0
459,22,7087,322.1
460,19,6956,366.1
461,19,6980,367.4
462,21,7115,338.8
463,20,7083,354.2
464,21,7099,338.0
465,21,7134,339.7
466,19,6975,367.1
467,21,7088,337.5
468,21,7123,339.2
469,20,7022,351.1
470,19,7032,370.1
471,19,7029,370.0
472,19,7020,369.5
473,19,7076,372.4
474,17,6992,411.3
475,18,7010,389.4
476,18,7001,388.9
477,18,7076,393.1
478,16,6969,435.6
479,19,7036,370.3
480,19,7065,371.8
481,17,7026,413.3
482,17,7115,418.5
483,19,7122,374.8
484,18,7134,396.3
485,17,7005,412.1
486,20,7171,358.6
487,19,7083,372.8
488,17,6993,411.4
489,19,7108,374.1
490,20,7192,359.6
491,21,7226,344.1
492,20,7190,359.5
493,21,7177,341.8
494,21,7253,345.4
495,20,7252,362.6
496,18,7168,398.2
497,18,7193,399.6
498,17,7164,421.4
499,18,7177,398.7
500,18,7202,400.1
501,18,7180,398.9
502,19,7214,379.7
503,19,7167,377.2
504,20,7201,360.0
505,20,7241,362.0
506,20,7166,358.3
507,22,7102,322.8
508,22,7224,328.4
509,23,7234,314.5
510,17,7050,414.7
511,18,7142,396.8
512,20,7175,358.8
513,19,7138,375.7
514,20,7166,358.3
515,19,7135,375.5
516,19,7114,374.4
517,20,7220,361.0
518,20,7176,358.8
519,21,7176,341.7
520,21,7241,344.8
521,21,7225,344.0
522,20,7102,355.1
523,20,7179,359.0
524,21,7237,344.6
525,22,7225,328.4
526,19,7251,381.6
527,19,7207,379.3
528,20,7236,361.8
529,20,7273,363.6
530,19,7163,377.0
531,20,7137,356.8
532,22,7233,328.8
533,22,7209,327.7
534,21,7196,342.7
535,20,7134,356.7
536,21,7127,339.4
537,20,7153,357.6
538,20,7164,358.2
539,19,7139,375.7
540,21,7159,340.9
541,19,7136,375.6
542,19,7130,375.3
543,18,7154,397.4
544,18,7106,394.8
545,18,7100,394.4
546,18,7217,400.9
547,18,7154,397.4
548,18,7153,397.4
549,18,7146,397.0
550,17,7123,419.0
551,17,7112,418.4
552,17,7132,419.5
553,18,7170,398.3
554,17,7185,422.6
555,16,7037,439.8
556,16,7035,439.7
557,16,7075,442.2
558,18,7125,395.8
559,19,7223,380.2
560,19,7118,374.6
561,19,7208,379.4
562,19,7231,380.6
563,19,7214,379.7
564,19,7205,379.2
565,18,7172,398.4
566,19,7195,378.7
567,18,7176,398.7
568,18,7191,399.5
569,18,7176,398.7
570,19,7153,376.5
571,19,7182,378.0
572,19,7227,380.4
573,16,7195,449.7
574,17,7155,420.9
575,17,7172,421.9
576,17,7200,423.5
577,16,7141,446.3
578,15,7187,479.1
579,16,7290,455.6
580,16,7272,454.5
581,16,7353,459.6
582,16,7316,457.2
583,16,7239,452.4
584,15,7285,485.7
585,15,7267,484.5
586,16,7298,456.1
587,14,7204,514.6
588,14,7159,511.4
589,14,7170,512.1
590,14,7170,512.1
591,14,7225,516.1
592,14,7194,513.9
593,14,7123,508.8
594,15,7113,474.2
595,14,7078,505.6
596,14,7075,505.4
597,16,7105,444.1
598,16,7119,444.9
599,17,7156,420.9
600,18,7173,398.5
601,16,7137,446.1
602,15,7088,472.5
603,16,7138,446.1
604,16,7142,446.4
605,15,7110,474.0
606,16,7098,443.6
607,16,7138,446.1
608,16,7166,447.9
609,16,7165,447.8
610,16,7072,442.0
611,16,7142,446.4
612,16,7193,449.6
613,16,7134,445.9
614,16,7161,447.6
615,16,7164,447.8
616,14,7073,505.2
617,15,7124,474.9
618,16,7148,446.8
619,16,7145,446.6
620,14,7133,509.5
621,16,7124,445.2
622,15,7155,477.0
623,15,7188,479.2
624,15,7166,477.7
625,14,7148,510.6
626,15,7140,476.0
627,14,7143,510.2
628,13,7116,547.4
629,13,7142,549.4
630,14,7132,509.4
631,14,7141,510.1
632,14,7114,508.1
633,13,7073,544.1
634,13,7085,545.0
635,14,7110,507.9
636,14,7105,507.5
637,14,7088,506.3
638,14,7061,504.4
639,14,7155,511.1
640,15,7137,475.8
641,15,7153,476.9
642,15,7167,477.8
643,15,7151,476.7
644,14,7155,511.1
645,14,7129,509.2
646,13,7054,542.6
647,15,7159,477.3
648,12,7006,583.8
649,12,7077,589.8
650,11,7071,642.8
651,11,7030,639.1
652,11,7057,641.6
653,12,7070,589.2
654,12,7062,588.5
655,11,6997,636.1
656,11,6979,634.4
657,11,6965,633.2
658,11,6972,633.8
659,11,6969,633.6
660,13,7100,546.2
661,12,7094,591.2
662,13,7107,546.7
663,12,7081,590.1
664,12,7030,585.8
665,12,7072,589.3
666,12,7152,596.0
667,12,7154,596.2
668,13,7065,543.5
669,11,7003,636.6
670,11,7088,644.4
671,11,7102,645.6
672,11,7137,648.8
673,11,7078,643.4
674,11,7024,638.6
675,12,7025,585.4
676,12,7010,584.2
677,12,7004,583.7
678,13,7013,539.5
679,14,7032,502.3
680,11,7037,639.7
681,14,7027,501.9
682,11,6987,635.2
683,12,6955,579.6
684,11,6987,635.2
685,12,7055,587.9
686,13,7123,547.9
687,13,7105,546.5
688,12,7103,591.9
689,12,7107,592.2
690,12,7072,589.3
691,12,7064,588.7
692,12,7103,591.9
693,12,7029,585.8
694,13,7039,541.5
695,13,7068,543.7
696,13,7063,543.3
697,13,7070,543.8
698,12,7051,587.6
699,11,7042,640.2
700,11,7063,642.1
701,11,7083,643.9
702,11,7094,644.9
703,11,7032,639.3
704,11,6949,631.7
705,12,7051,587.6
706,12,6958,579.8
707,13,7003,538.7
708,11,6881,625.6
709,13,7097,545.9
710,13,7006,538.9
711,13,7126,548.2
712,11,6994,635.8
713,12,7054,587.8
714,12,7071,589.2
715,12,7080,590.0
716,12,7052,587.7
717,13,7101,546.2
718,12,6959,579.9
719,12,7060,588.3
720,13,7126,548.2
721,14,7194,513.9
722,13,7187,552.8
723,12,7161,596.8
724,13,7242,557.1
725,13,7236,556.6
726,11,7177,652.4
727,12,7118,593.2
728,10,7127,712.7
729,11,7128,648.0
730,11,7176,652.4
731,12,7209,600.8
732,11,7172,652.0
733,12,7163,596.9
734,12,7158,596.5
735,11,7125,647.7
736,10,7095,709.5
737,11,7138,648.9
738,11,7170,651.8
739,12,7176,598.0
740,10,7152,715.2
741,10,7209,720.9
742,10,7183,718.3
743,10,7169,716.9
744,11,7166,651.4
745,10,7165,716.5
746,11,7173,652.1
747,12,7200,600.0
748,13,7142,549.4
749,13,7172,551.7
750,14,7133,509.5
751,14,7246,517.6
752,13,7192,553.2
753,13,7225,555.8
754,15,7266,484.4
755,14,7233,516.6
756,13,7229,556.1
757,14,7229,516.4
758,15,7230,482.0
759,14,7259,518.5
760,15,7214,480.9
761,15,7168,477.9
762,15,7240,482.7
763,14,7139,509.9
764,15,7243,482.9
765,13,7214,554.9
766,14,7263,518.8
767,15,7232,482.1
768,14,7199,514.2
769,15,7271,484.7
770,15,7255,483.7
771,14,7261,518.6
772,13,7280,560.0
773,14,7265,518.9
774,14,7276,519.7
775,14,7217,515.5
776,14,7260,518.6
777,13,7136,548.9
778,13,7146,549.7
779,15,7257,483.8
780,13,7180,552.3
781,13,7211,554.7
782,14,7193,513.8
783,13,7227,555.9
784,12,7212,601.0
785,13,7248,557.5
786,15,7268,484.5
787,14,7330,523.6
788,15,7313,487.5
789,14,7293,520.9
790,15,7310,487.3
791,14,7295,521.1
792,15,7331,488.7
793,14,7268,519.1
794,15,7275,485.0
795,14,7216,515.4
796,15,7324,488.3
797,15,7318,487.9
798,15,7312,487.5
799,15,7352,490.1
800,15,7336,489.1
801,15,7321,488.1
802,15,7287,485.8
803,15,7305,487.0
804,15,7341,489.4
805,15,7337,489.1
806,15,7303,486.9
807,15,7316,487.7
808,15,7336,489.1
809,15,7323,488.2
810,15,7342,489.5
811,15,7305,487.0
812,15,7249,483.3
813,15,7257,483.8
814,14,7253,518.1
815,14,7175,512.5
816,14,7211,515.1
817,14,7220,515.7
818,14,7241,517.2
819,14,7245,517.5
820,14,7225,516.1
821,14,7230,516.4
822,14,7184,513.1
823,14,7247,517.6
824,14,7241,517.2
825,13,7270,559.2
826,14,7277,519.8
827,13,7299,561.5
828,14,7296,521.1
829,13,7289,560.7
830,14,7228,516.3
831,13,7237,556.7
832,14,7204,514.6
833,13,7263,558.7
834,13,7301,561.6
835,12,7304,608.7
836,13,7327,563.6
837,12,7290,607.5
838,12,7233,602.8
839,14,7290,520.7
840,13,7249,557.6
841,14,7301,521.5
842,13,7303,561.8
843,11,7233,657.6
844,12,7267,605.6
845,12,7230,602.5
846,14,7270,519.3
847,13,7238,556.8
848,13,7209,554.5
849,13,7266,558.9
850,14,7306,521.9
851,13,7313,562.5
852,13,7282,560.2
853,13,7293,561.0
854,13,7243,557.2
855,14,7258,518.4
856,14,7197,514.1
857,13,7236,556.6
858,12,7251,604.2
859,12,7268,605.7
860,13,7168,551.4
861,13,7269,559.2
862,13,7271,559.3
863,12,7247,603.9
864,12,7250,604.2
865,13,7276,559.7
866,12,7234,602.8
867,12,7255,604.6
868,12,7302,608.5
869,12,7301,608.4
870,13,7349,565.3
871,13,7304,561.8
872,13,7338,564.5
873,13,7334,564.2
874,12,7278,606.5
875,12,7325,610.4
876,14,7305,521.8
877,11,7278,661.6
878,11,7284,662.2
