Frame,vesicle_count,total_peptides_in_vesicles,avg_vesicle_size
251,23,4986,216.8
252,20,4347,217.4
253,26,5296,203.7
254,22,4056,184.4
255,21,4012,191.0
256,25,4336,173.4
257,27,5644,209.0
258,26,5580,214.6
259,25,5237,209.5
260,23,5356,232.9
261,26,5424,208.6
262,25,5935,237.4
263,26,5407,208.0
264,26,5633,216.7
265,19,4290,225.8
266,22,4091,186.0
267,25,5506,220.2
268,25,5606,224.2
269,20,5408,270.4
270,19,4392,231.2
271,26,5461,210.0
272,27,5383,199.4
273,24,4124,171.8
274,25,5220,208.8
275,21,4210,200.5
276,22,4242,192.8
277,20,4228,211.4
278,20,4295,214.8
279,23,5052,219.7
280,21,4863,231.6
281,21,4887,232.7
282,26,5588,214.9
283,20,4117,205.8
284,20,3572,178.6
285,23,5419,235.6
286,27,6251,231.5
287,27,6044,223.9
288,22,5650,256.8
289,24,5523,230.1
290,24,6006,250.2
291,24,6048,252.0
292,24,6024,251.0
293,21,5685,270.7
294,21,6102,290.6
295,20,5300,265.0
296,21,5614,267.3
297,24,5448,227.0
298,24,5817,242.4
299,21,5710,271.9
300,23,5726,249.0
301,23,5929,257.8
302,21,5747,273.7
303,17,4380,257.6
304,21,5240,249.5
305,18,4451,247.3
306,19,5046,265.6
307,21,5299,252.3
308,20,5246,262.3
309,20,4643,232.2
310,21,4912,233.9
311,15,4267,284.5
312,18,4585,254.7
313,18,4693,260.7
314,25,5624,225.0
315,19,5030,264.7
316,23,5539,240.8
317,19,5167,271.9
318,20,6122,306.1
319,19,5040,265.3
320,19,4995,262.9
321,19,4536,238.7
322,21,4878,232.3
323,19,4835,254.5
324,21,5602,266.8
325,18,5744,319.1
326,20,5310,265.5
327,21,5060,241.0
328,18,4571,253.9
329,17,4368,256.9
330,18,4481,248.9
331,15,3749,249.9
332,17,4340,255.3
333,17,4170,245.3
334,18,4671,259.5
335,19,5550,292.1
336,19,6288,330.9
337,18,4805,266.9
338,17,5204,306.1
339,19,5526,290.8
340,16,4444,277.8
341,18,5656,314.2
342,19,4706,247.7
343,21,5305,252.6
344,18,6045,335.8
345,22,6620,300.9
346,21,6456,307.4
347,17,6282,369.5
348,21,6439,306.6
349,20,5153,257.6
350,21,5439,259.0
351,19,5340,281.1
352,20,5390,269.5
353,22,6427,292.1
354,24,6651,277.1
355,21,6500,309.5
356,22,6736,306.2
357,23,6763,294.0
358,21,6711,319.6
359,22,6205,282.0
360,22,5741,261.0
361,24,6894,287.2
362,23,6731,292.7
363,23,6775,294.6
364,22,6167,280.3
365,22,6261,284.6
366,22,6785,308.4
367,21,6165,293.6
368,22,6736,306.2
369,24,6853,285.5
370,21,6954,331.1
371,19,6487,341.4
372,22,6586,299.4
373,22,6701,304.6
374,20,6444,322.2
375,24,6931,288.8
376,21,6790,323.3
377,19,5939,312.6
378,20,5928,296.4
379,19,5718,300.9
380,20,6398,319.9
381,19,5438,286.2
382,17,5397,317.5
383,21,5490,261.4
384,21,5938,282.8
385,21,6607,314.6
386,17,5235,307.9
387,19,6515,342.9
388,17,6276,369.2
389,19,6571,345.8
390,20,6704,335.2
391,21,6954,331.1
392,20,6870,343.5
393,19,6603,347.5
