Frame,shapes
465,vesicle
466,vesicle
467,vesicle
468,vesicle
469,vesicle
470,vesicle
471,vesicle
472,vesicle
473,vesicle
474,vesicle
475,vesicle
476,vesicle
477,vesicle
478,vesicle
479,vesicle
480,vesicle
481,vesicle
482,vesicle
483,vesicle
484,vesicle
485,vesicle
486,vesicle
487,vesicle
488,vesicle
489,vesicle
490,vesicle
491,vesicle
492,vesicle
493,vesicle
494,vesicle
495,vesicle
496,vesicle
497,vesicle
498,vesicle
499,vesicle
500,vesicle
501,vesicle
502,vesicle
503,vesicle
504,vesicle
505,vesicle
506,vesicle
507,vesicle
508,undetermined
509,vesicle
510,vesicle
511,vesicle
512,undetermined
513,vesicle
514,undetermined
515,undetermined
516,vesicle
517,vesicle
518,vesicle
519,vesicle
520,vesicle
521,vesicle
522,vesicle
523,vesicle
524,vesicle
525,vesicle
526,vesicle
527,vesicle
528,vesicle
529,vesicle
530,vesicle
531,vesicle
532,vesicle
533,vesicle
534,undetermined
535,undetermined
536,vesicle
537,vesicle
538,vesicle
539,vesicle
540,vesicle
541,vesicle
542,vesicle
543,vesicle
544,vesicle
545,vesicle
546,vesicle
547,vesicle
548,vesicle
549,vesicle
550,vesicle
551,vesicle
552,vesicle
553,vesicle
554,vesicle
555,vesicle
556,vesicle
557,vesicle
558,vesicle
559,vesicle
560,vesicle
561,vesicle
562,vesicle
563,vesicle
564,vesicle
565,vesicle
566,vesicle
567,vesicle
568,vesicle
569,vesicle
570,vesicle
571,vesicle
572,vesicle
573,undetermined
574,vesicle
575,vesicle
576,vesicle
577,vesicle
578,vesicle
579,vesicle
580,vesicle
581,vesicle
582,vesicle
583,vesicle
584,undetermined
585,vesicle
586,undetermined
587,vesicle
588,vesicle
589,vesicle
590,vesicle
591,vesicle
592,vesicle
593,vesicle
594,vesicle
595,vesicle
596,vesicle
597,vesicle
598,vesicle
599,undetermined
600,undetermined
601,vesicle
602,vesicle
603,vesicle
604,vesicle
605,vesicle
606,vesicle
607,vesicle
608,vesicle
609,vesicle
610,undetermined
611,vesicle
612,vesicle
613,vesicle
614,vesicle
615,vesicle
616,vesicle
617,vesicle
618,vesicle
619,vesicle
620,vesicle
621,vesicle
622,vesicle
623,vesicle
624,vesicle
625,vesicle
626,vesicle
627,vesicle
628,vesicle
629,vesicle
630,vesicle
631,vesicle
632,vesicle
633,vesicle
634,vesicle
635,vesicle
636,vesicle
637,vesicle
638,vesicle
639,vesicle
640,vesicle
641,vesicle
642,tube
643,vesicle
644,vesicle
645,vesicle
646,vesicle
647,vesicle
648,vesicle
649,vesicle
650,vesicle
651,vesicle
652,vesicle
653,vesicle
654,vesicle
655,vesicle
656,vesicle
657,vesicle
658,vesicle
659,vesicle
660,vesicle
661,vesicle
662,vesicle
