Frame,aggregate_count,total_peptides_in_aggregate,avg_aggregate_size
251,24,4735,197.3
252,25,4797,191.9
253,26,4812,185.1
254,26,4796,184.5
255,25,4700,188.0
256,24,4855,202.3
257,26,4899,188.4
258,26,4857,186.8
259,22,4840,220.0
260,22,4812,218.7
261,27,4970,184.1
262,25,4860,194.4
263,24,4811,200.5
264,21,4766,227.0
265,24,4917,204.9
266,21,4769,227.1
267,21,4741,225.8
268,24,4804,200.2
269,24,4912,204.7
270,26,4989,191.9
271,24,4950,206.2
272,22,4930,224.1
273,22,4866,221.2
274,21,4909,233.8
275,22,4801,218.2
276,21,4857,231.3
277,21,4851,231.0
278,23,4925,214.1
279,25,5032,201.3
280,25,4983,199.3
281,25,5022,200.9
282,25,5056,202.2
283,24,4979,207.5
284,25,4891,195.6
285,24,4912,204.7
286,26,4990,191.9
287,26,4896,188.3
288,26,4902,188.5
289,26,5046,194.1
290,24,5082,211.8
291,23,5008,217.7
292,24,4931,205.5
293,24,5023,209.3
294,25,4995,199.8
295,26,5064,194.8
296,26,4875,187.5
297,26,4878,187.6
298,27,4889,181.1
299,25,4992,199.7
300,24,5021,209.2
301,25,5123,204.9
302,26,5095,196.0
303,23,4941,214.8
304,27,5038,186.6
305,23,4900,213.0
306,23,4926,214.2
307,23,4900,213.0
308,22,4909,223.1
309,23,4873,211.9
310,24,4892,203.8
311,25,5062,202.5
312,24,4920,205.0
313,24,5021,209.2
314,21,4848,230.9
315,21,4924,234.5
316,21,4942,235.3
317,23,5086,221.1
318,25,5128,205.1
319,24,5105,212.7
320,27,5184,192.0
321,23,5044,219.3
322,24,5181,215.9
323,25,5098,203.9
324,21,4924,234.5
325,23,4980,216.5
326,24,5104,212.7
327,24,5055,210.6
328,22,4987,226.7
329,24,5066,211.1
330,23,5021,218.3
331,22,4920,223.6
332,27,5125,189.8
333,25,4966,198.6
334,25,4975,199.0
335,26,5121,197.0
336,25,5028,201.1
337,23,5119,222.6
338,22,5110,232.3
339,23,5166,224.6
340,23,5189,225.6
341,24,5220,217.5
342,23,5257,228.6
343,23,5299,230.4
344,23,5328,231.6
345,24,5265,219.4
346,22,5283,240.1
347,21,5263,250.6
348,24,5224,217.7
349,23,5163,224.5
350,26,5210,200.4
351,23,5243,228.0
352,24,5287,220.3
353,25,5336,213.4
354,24,5268,219.5
355,25,5302,212.1
356,23,5218,226.9
357,22,5131,233.2
358,25,5286,211.4
359,22,5131,233.2
360,24,5099,212.5
361,23,5083,221.0
362,24,5189,216.2
363,24,5126,213.6
364,23,5078,220.8
365,25,5209,208.4
366,25,5224,209.0
367,25,5226,209.0
368,25,5201,208.0
369,25,5187,207.5
370,23,5102,221.8
371,24,5164,215.2
372,23,5188,225.6
373,24,5221,217.5
374,24,5303,221.0
375,23,5296,230.3
376,24,5229,217.9
377,26,5412,208.2
378,24,5271,219.6
379,23,5207,226.4
380,22,5303,241.0
381,22,5302,241.0
382,21,5332,253.9
383,24,5336,222.3
384,25,5334,213.4
385,21,5345,254.5
386,26,5354,205.9
387,24,5262,219.2
388,25,5240,209.6
389,22,5277,239.9
390,22,5382,244.6
391,22,5398,245.4
392,26,5396,207.5
393,26,5400,207.7
394,22,5388,244.9
395,22,5352,243.3
396,24,5331,222.1
397,21,5391,256.7
398,20,5190,259.5
399,23,5191,225.7
400,24,5341,222.5
401,22,5320,241.8
402,23,5319,231.3
403,21,5182,246.8
404,21,5190,247.1
405,20,5163,258.2
406,21,5236,249.3
407,21,5289,251.9
408,22,5268,239.4
409,21,5302,252.5
410,21,5308,252.8
411,25,5236,209.4
412,22,5348,243.1
413,22,5357,243.5
414,23,5360,233.0
415,23,5346,232.4
416,23,5337,232.0
417,22,5338,242.6
418,21,5246,249.8
419,21,5341,254.3
420,24,5347,222.8
421,22,5257,239.0
422,22,5241,238.2
423,22,5320,241.8
424,22,5281,240.0
425,22,5367,244.0
426,21,5284,251.6
427,22,5258,239.0
428,22,5278,239.9
429,24,5326,221.9
430,25,5406,216.2
431,25,5379,215.2
432,21,5263,250.6
433,23,5258,228.6
434,22,5275,239.8
435,21,5171,246.2
436,24,5380,224.2
437,24,5498,229.1
438,23,5479,238.2
439,22,5418,246.3
440,21,5360,255.2
441,22,5511,250.5
442,23,5514,239.7
443,22,5465,248.4
444,22,5415,246.1
445,21,5365,255.5
446,20,5344,267.2
447,20,5350,267.5
448,19,5218,274.6
449,19,5258,276.7
450,21,5400,257.1
451,22,5386,244.8
452,19,5262,277.0
453,20,5294,264.7
454,21,5344,254.5
455,21,5483,261.1
456,21,5426,258.4
457,21,5442,259.1
458,21,5503,262.0
459,22,5501,250.0
460,21,5487,261.3
461,22,5496,249.8
462,19,5349,281.5
463,20,5394,269.7
464,20,5444,272.2
465,21,5503,262.0
466,19,5402,284.3
467,20,5538,276.9
468,22,5553,252.4
469,24,5576,232.3
470,22,5619,255.4
471,21,5575,265.5
472,24,5524,230.2
473,24,5519,230.0
474,23,5458,237.3
475,23,5575,242.4
476,24,5425,226.0
477,19,5548,292.0
478,20,5541,277.0
479,20,5437,271.8
480,20,5426,271.3
481,20,5541,277.0
482,20,5592,279.6
483,21,5641,268.6
484,22,5616,255.3
485,22,5520,250.9
486,21,5559,264.7
487,21,5510,262.4
488,19,5439,286.3
489,20,5473,273.6
490,22,5551,252.3
491,19,5527,290.9
492,20,5509,275.4
493,19,5575,293.4
494,19,5461,287.4
495,18,5596,310.9
496,20,5605,280.2
497,18,5640,313.3
498,18,5646,313.7
499,18,5641,313.4
500,19,5644,297.0
501,18,5598,311.0
502,19,5562,292.7
503,19,5626,296.1
504,21,5634,268.3
505,18,5634,313.0
506,23,5597,243.4
507,20,5681,284.0
508,21,5648,269.0
509,19,5593,294.4
510,16,5508,344.2
511,18,5601,311.2
512,18,5637,313.2
513,20,5655,282.8
514,20,5590,279.5
515,20,5681,284.0
516,23,5537,240.7
517,23,5498,239.0
518,23,5568,242.1
519,24,5648,235.3
520,22,5605,254.8
521,19,5572,293.3
522,22,5663,257.4
