Frame,vesicle_count,total_peptides_in_vesicles,avg_vesicle_size
251,23,5963,259.3
252,22,5629,255.9
253,24,6057,252.4
254,18,5178,287.7
255,23,6028,262.1
256,21,5724,272.6
257,23,6148,267.3
258,22,6236,283.5
259,20,6018,300.9
260,20,6106,305.3
261,21,6114,291.1
262,23,6319,274.7
263,21,6077,289.4
264,23,6428,279.5
265,23,7043,306.2
266,21,6611,314.8
267,22,6487,294.9
268,19,6188,325.7
269,22,6462,293.7
270,21,6325,301.2
271,18,5788,321.6
272,21,6683,318.2
273,19,6126,322.4
274,22,7212,327.8
275,23,5813,252.7
276,24,5880,245.0
277,22,5549,252.2
278,21,4592,218.7
279,21,5521,262.9
280,25,5926,237.0
281,21,6591,313.9
282,19,5559,292.6
283,16,5424,339.0
284,19,6018,316.7
285,17,5374,316.1
286,20,5349,267.4
287,19,5853,308.1
288,19,4415,232.4
289,22,5214,237.0
290,20,5917,295.8
291,22,6182,281.0
292,22,6513,296.0
293,22,6466,293.9
294,19,5849,307.8
295,21,5725,272.6
296,19,5761,303.2
297,20,4967,248.4
298,22,6571,298.7
299,20,6529,326.4
300,19,6000,315.8
301,19,5960,313.7
302,19,6169,324.7
303,16,5561,347.6
304,20,5320,266.0
305,23,6427,279.4
306,20,5856,292.8
307,19,4636,244.0
308,18,5859,325.5
309,22,6280,285.5
310,20,5946,297.3
311,20,6019,301.0
312,22,6448,293.1
313,23,7108,309.0
314,20,6164,308.2
315,23,6662,289.7
316,23,7019,305.2
317,23,7006,304.6
318,22,6926,314.8
319,22,6902,313.7
320,22,7027,319.4
321,23,7000,304.3
322,22,6994,317.9
323,22,7047,320.3
324,21,6514,310.2
325,21,6524,310.7
326,20,6281,314.0
327,19,5696,299.8
328,20,6356,317.8
329,21,6374,303.5
330,21,7333,349.2
331,22,6543,297.4
332,21,6733,320.6
333,22,7414,337.0
334,19,7014,369.2
335,18,6223,345.7
336,16,6276,392.2
337,17,6349,373.5
338,16,7007,437.9
339,17,7073,416.1
340,17,6978,410.5
341,17,7015,412.6
342,21,6942,330.6
343,17,7367,433.4
344,22,7336,333.5
345,18,7414,411.9
346,16,6484,405.2
347,17,6921,407.1
348,20,6764,338.2
349,18,7353,408.5
350,17,6861,403.6
351,16,6547,409.2
352,17,6814,400.8
353,18,6966,387.0
354,18,6836,379.8
355,21,6972,332.0
356,21,7755,369.3
357,20,7526,376.3
358,16,6676,417.2
359,23,7928,344.7
360,21,7634,363.5
361,21,7616,362.7
362,20,7324,366.2
363,21,7839,373.3
364,22,7812,355.1
365,22,7817,355.3
366,20,6748,337.4
367,22,7788,354.0
368,23,8452,367.5
369,20,6442,322.1
370,20,6360,318.0
371,20,6860,343.0
372,19,5850,307.9
373,20,7003,350.2
374,20,6478,323.9
375,19,6356,334.5
376,20,6317,315.8
377,22,6575,298.9
378,21,6556,312.2
379,23,6941,301.8
380,23,6938,301.7
381,22,7272,330.5
382,18,5197,288.7
383,20,5404,270.2
384,18,5035,279.7
385,17,5055,297.4
386,21,6395,304.5
387,23,7225,314.1
388,22,7224,328.4
389,19,6675,351.3
390,18,6732,374.0
391,16,5943,371.4
392,20,7073,353.6
393,16,5265,329.1
394,15,4944,329.6
395,18,5365,298.1
396,15,5049,336.6
397,15,4918,327.9
398,14,4859,347.1
399,17,5104,300.2
400,18,5304,294.7
401,18,5335,296.4
402,17,5284,310.8
403,20,6067,303.4
404,17,5711,335.9
405,16,5624,351.5
406,16,5465,341.6
407,15,5505,367.0
408,14,5469,390.6
409,15,5438,362.5
410,17,5802,341.3
411,15,5332,355.5
412,16,5519,344.9
413,16,5436,339.8
414,16,5432,339.5
415,16,5549,346.8
416,16,5493,343.3
417,17,5495,323.2
418,16,5376,336.0
419,16,5404,337.8
420,15,4946,329.7
421,14,5011,357.9
422,14,5022,358.7
423,14,5236,374.0
424,14,4325,308.9
425,16,5158,322.4
426,16,5156,322.2
427,17,5224,307.3
428,17,5492,323.1
429,17,5652,332.5
430,18,7240,402.2
431,14,5064,361.7
432,16,5501,343.8
433,14,5208,372.0
434,16,7063,441.4
435,16,7033,439.6
436,16,7038,439.9
437,16,7152,447.0
438,16,5471,341.9
