Frame,tube_count,total_peptides_in_tubes,avg_tube_size
317,1,56,56.0
318,1,70,70.0
319,0,0,0.0
320,2,131,65.5
321,1,50,50.0
322,0,0,0.0
323,0,0,0.0
324,2,119,59.5
325,1,70,70.0
326,1,56,56.0
327,0,0,0.0
328,0,0,0.0
329,0,0,0.0
330,0,0,0.0
331,2,107,53.5
332,1,56,56.0
333,1,58,58.0
334,0,0,0.0
335,0,0,0.0
336,0,0,0.0
337,1,94,94.0
338,1,56,56.0
339,0,0,0.0
340,2,144,72.0
341,1,55,55.0
342,0,0,0.0
343,0,0,0.0
344,0,0,0.0
345,1,90,90.0
346,1,126,126.0
347,1,84,84.0
348,0,0,0.0
349,1,98,98.0
350,3,235,78.3
351,1,63,63.0
352,1,62,62.0
353,0,0,0.0
354,3,287,95.7
355,3,241,80.3
356,0,0,0.0
357,1,79,79.0
358,1,63,63.0
359,0,0,0.0
360,3,231,77.0
361,1,56,56.0
362,2,220,110.0
363,0,0,0.0
364,1,63,63.0
365,2,153,76.5
366,1,70,70.0
367,0,0,0.0
368,0,0,0.0
369,1,112,112.0
370,0,0,0.0
371,0,0,0.0
372,1,65,65.0
373,1,70,70.0
374,3,210,70.0
375,3,265,88.3
376,3,389,129.7
377,2,150,75.0
378,0,0,0.0
379,2,163,81.5
380,1,113,113.0
381,2,185,92.5
382,2,125,62.5
383,2,152,76.0
384,0,0,0.0
385,2,175,87.5
386,0,0,0.0
387,1,77,77.0
388,2,121,60.5
389,2,386,193.0
390,2,133,66.5
391,1,77,77.0
392,2,146,73.0
393,0,0,0.0
394,2,147,73.5
395,2,146,73.0
396,2,126,63.0
397,1,98,98.0
398,3,181,60.3
399,2,157,78.5
400,1,77,77.0
401,0,0,0.0
402,2,120,60.0
403,1,54,54.0
404,0,0,0.0
405,1,211,211.0
406,2,150,75.0
407,0,0,0.0
408,1,210,210.0
409,2,133,66.5
410,0,0,0.0
411,0,0,0.0
412,1,91,91.0
413,1,63,63.0
414,0,0,0.0
415,0,0,0.0
416,2,114,57.0
417,4,325,81.2
418,1,168,168.0
419,2,126,63.0
420,3,245,81.7
421,1,76,76.0
422,1,141,141.0
423,2,207,103.5
424,0,0,0.0
425,0,0,0.0
426,2,102,51.0
427,2,135,67.5
428,1,62,62.0
429,1,70,70.0
430,2,122,61.0
431,0,0,0.0
432,3,217,72.3
433,1,69,69.0
434,1,56,56.0
435,0,0,0.0
436,0,0,0.0
437,0,0,0.0
438,2,182,91.0
439,0,0,0.0
440,4,301,75.2
441,0,0,0.0
442,0,0,0.0
443,1,55,55.0
444,0,0,0.0
445,3,280,93.3
446,0,0,0.0
447,2,153,76.5
448,1,56,56.0
449,0,0,0.0
450,1,161,161.0
451,1,56,56.0
452,2,133,66.5
453,0,0,0.0
454,0,0,0.0
455,2,135,67.5
456,1,63,63.0
457,1,53,53.0
458,2,111,55.5
459,1,71,71.0
460,0,0,0.0
461,1,77,77.0
462,2,140,70.0
463,0,0,0.0
464,0,0,0.0
465,3,215,71.7
466,1,77,77.0
467,1,56,56.0
468,2,131,65.5
469,0,0,0.0
470,2,112,56.0
471,0,0,0.0
472,2,182,91.0
473,0,0,0.0
474,0,0,0.0
475,0,0,0.0
476,0,0,0.0
477,2,100,50.0
478,1,61,61.0
479,0,0,0.0
480,2,126,63.0
481,1,69,69.0
482,2,111,55.5
483,3,318,106.0
484,2,181,90.5
485,2,145,72.5
486,0,0,0.0
487,1,96,96.0
488,1,63,63.0
489,0,0,0.0
490,2,145,72.5
491,1,86,86.0
492,0,0,0.0
493,1,91,91.0
494,1,56,56.0
495,3,205,68.3
496,0,0,0.0
497,3,167,55.7
498,1,52,52.0
499,1,79,79.0
500,1,70,70.0
501,0,0,0.0
502,3,174,58.0
503,1,63,63.0
504,1,54,54.0
505,0,0,0.0
506,2,166,83.0
507,0,0,0.0
508,0,0,0.0
509,0,0,0.0
510,2,147,73.5
511,1,54,54.0
512,3,238,79.3
513,1,112,112.0
514,2,132,66.0
515,0,0,0.0
516,2,152,76.0
517,2,137,68.5
518,2,143,71.5
519,0,0,0.0
520,3,266,88.7
521,0,0,0.0
522,1,56,56.0
523,2,145,72.5
524,3,250,83.3
525,1,52,52.0
526,0,0,0.0
527,0,0,0.0
528,2,172,86.0
529,1,77,77.0
530,1,84,84.0
531,1,71,71.0
532,0,0,0.0
533,0,0,0.0
534,2,121,60.5
535,0,0,0.0
536,1,60,60.0
537,0,0,0.0
538,4,287,71.8
539,1,90,90.0
