Frame,vesicle_count,total_peptides_in_vesicles,avg_vesicle_size
977,46,3547,77.1
978,40,2960,74.0
979,34,2758,81.1
980,44,3331,75.7
981,47,3745,79.7
982,41,3275,79.9
983,42,3271,77.9
984,40,3270,81.8
985,38,3144,82.7
986,45,3526,78.4
987,32,2965,92.7
988,39,3273,83.9
989,41,3148,76.8
990,41,3259,79.5
991,46,3127,68.0
992,48,3509,73.1
993,42,3384,80.6
994,45,3579,79.5
995,43,3481,81.0
996,47,3715,79.0
997,43,3239,75.3
998,42,3196,76.1
999,44,3426,77.9
1000,41,3284,80.1
1001,43,3235,75.2
1002,45,3569,79.3
1003,46,3465,75.3
1004,41,3038,74.1
1005,44,3286,74.7
1006,50,3698,74.0
1007,45,3331,74.0
1008,46,3436,74.7
1009,50,3662,73.2
1010,44,3146,71.5
1011,45,3570,79.3
1012,42,3361,80.0
1013,39,3080,79.0
1014,35,2968,84.8
1015,37,2599,70.2
1016,40,3244,81.1
1017,40,2993,74.8
1018,37,3032,81.9
1019,36,2846,79.1
1020,40,2987,74.7
1021,42,3093,73.6
1022,40,3071,76.8
1023,44,3429,77.9
1024,49,3702,75.6
1025,42,3384,80.6
1026,47,3562,75.8
1027,54,3811,70.6
1028,47,3962,84.3
1029,51,3854,75.6
1030,51,3641,71.4
1031,52,3739,71.9
1032,48,3597,74.9
1033,47,3601,76.6
1034,61,4428,72.6
1035,45,3660,81.3
1036,44,3487,79.2
1037,45,3491,77.6
1038,48,3393,70.7
1039,46,3259,70.8
1040,49,3899,79.6
1041,46,3597,78.2
1042,36,3126,86.8
1043,46,3597,78.2
1044,44,3696,84.0
1045,44,3492,79.4
1046,42,3475,82.7
1047,46,3690,80.2
1048,47,3605,76.7
1049,46,3402,74.0
1050,46,3676,79.9
1051,43,3275,76.2
1052,46,3550,77.2
1053,41,3398,82.9
1054,46,3369,73.2
1055,48,3681,76.7
1056,39,3079,78.9
1057,36,2726,75.7
1058,44,3235,73.5
1059,39,2994,76.8
1060,34,2549,75.0
1061,40,3067,76.7
1062,40,3678,92.0
1063,39,3292,84.4
1064,44,3263,74.2
1065,40,3279,82.0
1066,45,3568,79.3
1067,42,3220,76.7
1068,43,3280,76.3
1069,49,3566,72.8
1070,39,3163,81.1
1071,40,3132,78.3
1072,45,3280,72.9
1073,43,3464,80.6
1074,45,3334,74.1
1075,40,2649,66.2
1076,39,3029,77.7
1077,50,3743,74.9
1078,45,3392,75.4
1079,40,3440,86.0
1080,42,3561,84.8
1081,36,3433,95.4
1082,43,3639,84.6
1083,48,3921,81.7
1084,47,4223,89.9
1085,48,4038,84.1
1086,44,3714,84.4
1087,41,3668,89.5
1088,38,3013,79.3
1089,41,3595,87.7
