Frame,shape,pathway
9747,sheet,sheet->vesicle
9748,sheet,sheet->vesicle
9749,sheet,sheet-only
9750,sheet,sheet-only
9751,sheet,sheet->vesicle
9752,sheet,sheet-only
9753,sheet,sheet-only
9754,sheet,sheet-only
9755,sheet,sheet-only
9756,sheet,sheet-only
9757,sheet,sheet-only
9758,sheet,sheet-only
9759,sheet,sheet-only
9760,sheet,sheet-only
9761,sheet,sheet-only
9762,sheet,sheet-only
9763,sheet,sheet->vesicle
9764,sheet,sheet-only
9765,sheet,sheet-only
9766,sheet,sheet->vesicle
9767,sheet,sheet->vesicle
9768,sheet,sheet-only
9769,sheet,sheet-only
9770,sheet,sheet->vesicle
9771,sheet,sheet-only
9772,sheet,sheet-only
9773,sheet,sheet-only
9774,sheet,sheet->vesicle
9775,sheet,sheet-only
9776,sheet,sheet-only
9777,sheet,sheet->vesicle
9778,sheet,sheet->vesicle
9779,sheet,sheet-only
9780,sheet,sheet->vesicle
9781,sheet,sheet-only
9782,sheet,sheet-only
9783,sheet,sheet->vesicle
9784,sheet,sheet-only
9785,sheet,sheet-only
9786,sheet,sheet->vesicle
9787,sheet,sheet-only
9788,sheet,sheet-only
9789,sheet,sheet->vesicle
9790,sheet,sheet->vesicle
9791,sheet,sheet->vesicle
9792,sheet,sheet->vesicle
9793,sheet,sheet->vesicle
9794,sheet,sheet->vesicle
9795,sheet,sheet->vesicle
9796,sheet,sheet->vesicle
9797,sheet,sheet->vesicle
9798,sheet,sheet->vesicle
9799,sheet,sheet->vesicle
9800,sheet,sheet->vesicle
9801,sheet,sheet->vesicle
9802,sheet,sheet->vesicle
9803,sheet,sheet->vesicle
9804,sheet,sheet->vesicle
9805,sheet,sheet->vesicle
9806,fiber,fiber-only
9807,fiber,fiber-only
9808,fiber,fiber-only
