Frame,shape,pathway
10878,fiber,fiber-only
10879,fiber,fiber-only
10880,fiber,fiber-only
10881,fiber,fiber-only
10882,fiber,fiber-only
10883,fiber,fiber-only
10884,fiber,fiber-only
10885,sheet,sheet-only
10886,fiber,fiber-only
10887,fiber,fiber-only
10888,fiber,fiber-only
10889,fiber,fiber-only
10890,fiber,fiber-only
10891,fiber,fiber-only
10892,fiber,fiber-only
10893,fiber,fiber-only
10894,fiber,fiber-only
10895,fiber,fiber-only
10896,fiber,fiber-only
10897,fiber,fiber-only
10898,fiber,fiber-only
10899,fiber,fiber-only
10900,fiber,fiber-only
10901,sheet,sheet-only
10902,fiber,fiber-only
10903,fiber,fiber-only
10904,fiber,fiber-only
10905,sheet,sheet-only
10906,sheet,sheet->vesicle
10907,sheet,sheet->vesicle
10908,sheet,sheet->vesicle
10909,fiber,fiber-only
10910,sheet,sheet->vesicle
10911,fiber,fiber-only
10912,fiber,fiber-only
10913,fiber,fiber-only
10914,fiber,fiber-only
10915,fiber,fiber-only
10916,fiber,fiber-only
10917,fiber,fiber-only
10918,fiber,fiber-only
10919,fiber,fiber-only
10920,fiber,fiber-only
10921,fiber,fiber-only
10922,fiber,fiber-only
10923,sheet,sheet->vesicle
10924,sheet,sheet->vesicle
10925,sheet,sheet->vesicle
10926,sheet,sheet->vesicle
10927,sheet,sheet->vesicle
10928,fiber,fiber-only
10929,sheet,sheet->vesicle
10930,sheet,sheet->vesicle
10931,fiber,fiber-only
10932,sheet,sheet->vesicle
10933,sheet,sheet->vesicle
10934,sheet,sheet->vesicle
10935,sheet,sheet->vesicle
10936,sheet,sheet->vesicle
10937,fiber,fiber-only
10938,sheet,sheet->vesicle
10939,fiber,fiber-only
10940,fiber,fiber-only
10941,sheet,sheet->vesicle
10942,sheet,sheet->vesicle
10943,sheet,sheet->vesicle
10944,sheet,sheet->vesicle
10945,sheet,sheet->vesicle
10946,sheet,sheet->vesicle
10947,sheet,sheet->vesicle
10948,fiber,fiber-only
10949,sheet,sheet->vesicle
10950,sheet,sheet->vesicle
10951,sheet,sheet->vesicle
10952,sheet,sheet->vesicle
10953,sheet,sheet->vesicle
10954,fiber,fiber-only
10955,fiber,fiber-only
10956,fiber,fiber-only
10957,fiber,fiber-only
10958,fiber,fiber-only
10959,fiber,fiber-only
10960,sheet,sheet->vesicle
10961,sheet,sheet->vesicle
10962,fiber,fiber-only
10963,sheet,sheet->vesicle
10964,sheet,sheet->vesicle
10965,fiber,fiber-only
10966,fiber,fiber-only
10967,sheet,sheet->vesicle
10968,sheet,sheet->vesicle
10969,sheet,sheet->vesicle
10970,fiber,fiber-only
10971,fiber,fiber-only
10972,sheet,sheet->vesicle
10973,sheet,sheet->vesicle
10974,sheet,sheet->vesicle
10975,sheet,sheet->vesicle
10976,sheet,sheet->vesicle
10977,sheet,sheet->vesicle
10978,sheet,sheet->vesicle
10979,sheet,sheet->vesicle
10980,sheet,sheet->vesicle
10981,sheet,sheet->vesicle
10982,sheet,sheet->vesicle
10983,sheet,sheet->vesicle
10984,sheet,sheet->vesicle
10985,sheet,sheet->vesicle
10986,sheet,sheet->vesicle
10987,fiber,fiber-only
10988,fiber,fiber-only
10989,sheet,sheet->vesicle
10990,fiber,fiber-only
10991,sheet,sheet->vesicle
10992,fiber,fiber-only
10993,fiber,fiber-only
10994,fiber,fiber-only
10995,fiber,fiber-only
10996,sheet,sheet->vesicle
10997,sheet,sheet->vesicle
10998,sheet,sheet->vesicle
