frame,from_state,to_state,confidence
265,undetermined,vesicles,1.0
270,vesicles,undetermined,0.0
274,undetermined,vesicles,1.0
281,vesicles,undetermined,0.0
308,undetermined,vesicles,1.0
388,vesicles,fibers,0.5456730459871196
402,fibers,vesicles,0.3937943881776166
423,vesicles,fibers,0.0
435,fibers,vesicles,0.3483571178908451
437,vesicles,fibers,0.4647226454583508
443,fibers,vesicles,0.5798653976626164
448,vesicles,fibers,0.5738599831894596
459,fibers,vesicles,0.4858435984741507
464,vesicles,fibers,0.500828830338197
465,fibers,vesicles,0.5075995354558812
489,vesicles,fibers,0.5890252090935013
542,fibers,vesicles,0.4000384188243896
806,vesicles,fibers,0.7854325707037948
823,fibers,vesicles,0.9930125111268997
879,vesicles,fibers,0.6128428118109522
894,fibers,vesicles,0.3243237977778375
895,vesicles,fibers,0.6987718640593543
931,fibers,vesicles,1.0
935,vesicles,fibers,0.6385997926773822
937,fibers,vesicles,0.3973444366609737
4403,vesicles,fibers,0.0
4412,fibers,vesicles,0.02770941509836283
9001,vesicles,fibers,0.0
9017,fibers,sheets,0.0033884945376815782
9111,sheets,fibers,0.0
9114,fibers,sheets,1.0
9181,sheets,fibers,0.9965233957231182
9194,fibers,sheets,1.0
10881,sheets,vesicles,0.0
